w1,w2,w3,FOM,PM,UBW,power,ts,DC_gain
7.000000000000001e-07,4.8248560827308445e-06,4.786396125294831e-07,306.03850485883265,116.14500492898495,6309573444.801973,0.0002470081580846207,5.264251575092739e-10,2.261269078561755
7.000000000000001e-07,7.003489604903921e-06,1.771646221396994e-06,432.9291530965668,66.68710529454486,7943282347.2428665,0.0002548540209777156,2.570596392726672e-10,9.402926343691025
7.000000000000001e-07,6.128782366403034e-06,7.5812158388965535e-06,358.29139769192005,74.25830191240318,5011872336.272755,0.00025490882710272955,5.746595873260466e-10,9.013694216782953
7.000000000000001e-07,4.618644678127588e-06,6.221016179412023e-06,397.41368461514026,72.6002994124512,6309573444.801973,0.0002521857126513354,3.6560009132943077e-10,8.718105156079817
7.000000000000001e-07,4.118095551920445e-06,4.093630432112474e-06,380.4756682481749,69.55171465083303,7943282347.2428665,0.0002507335126384682,5.613949803130126e-10,8.759840260420823
7.000000000000001e-07,4.762642951670143e-06,3.8096674537192188e-06,389.2826633115635,68.18328511071655,7943282347.2428665,0.0002521465193575288,4.968885330175428e-10,9.030823517694516
7.000000000000001e-07,6.712348155648737e-06,3.983207382692806e-06,412.67744652004205,68.9669834350722,6309573444.801973,0.0002552835296286379,3.01962921743929e-10,9.485496474609025
7.000000000000001e-07,1.8963357413152247e-06,7.388824407718631e-06,362.2517663035247,80.2131793803058,5011872336.272755,0.00024126828257429558,4.766794835658808e-10,6.709869014211425
7.000000000000001e-07,2.2375128858776399e-07,3.0862496968899767e-06,288.4313592553199,97.03036583150863,1995262314.9688916,0.00015984321577014238,8.855340847904852e-10,2.716975879665095
7.000000000000001e-07,2.397437574868002e-07,6.24504306519328e-06,228.16452250417038,97.91646657120344,1258925411.7941747,0.00016521980254124497,1.442663269034868e-09,2.508407854250216
7.000000000000001e-07,4.388146817144678e-06,1.2359467510036865e-06,433.35516728498055,69.01700375820357,10000000000.000065,0.0002499538882393469,2.84371975295351e-10,8.45701230198984
7.000000000000001e-07,1.7211468300272147e-06,7.206638519291836e-06,359.5106673657752,80.3938139084996,5011872336.272755,0.00023968846422750342,4.898306504996586e-10,6.479077458881004
7.000000000000001e-07,5.412102653287234e-06,6.478977556542896e-06,400.87961958799417,71.12287008280774,6309573444.801973,0.0002537153856285102,3.4947177610885627e-10,8.940832805851919
7.000000000000001e-07,7.4754788101413e-06,7.160747723514565e-06,341.4778281532275,72.21154395825411,5011872336.272755,0.00025652555925286446,7.534803229118913e-10,9.305307636229301
7.000000000000001e-07,3.1033333093668314e-06,3.7231077689182134e-07,-616.3343014210021,179.99999999387836,1.0,0.0002379510521562411,1.02976717176471e-10,0.8096040980450021
7.000000000000001e-07,2.9093070198401334e-06,1.7533194985715605e-06,454.5372292572843,68.99207787457881,10000000000.000065,0.00024581818053964657,2.0674655248220484e-10,8.17633646470789
7.000000000000001e-07,2.8635537169606245e-06,5.959179622415648e-07,402.7243157363297,80.0684826384197,10000000000.000065,0.00024266323853054523,3.3779810724551655e-10,5.411069578565537
7.000000000000001e-07,2.31470337748995e-06,4.347449138469622e-06,396.7581488470468,73.26581099102094,7943282347.2428665,0.00024380350920405285,4.098341598478677e-10,7.532289091020784
7.000000000000001e-07,2.6989799515839586e-06,1.406706410071924e-06,453.6867700360888,70.18774263067036,10000000000.000065,0.00024447724912391854,2.0560595134972738e-10,7.88005913718243
