w1,w2,w3,FOM,PM,UBW,power,ts,DC_gain
8.000000000000001e-07,4.930185353975087e-06,3.6456655305472762e-06,374.1603610833047,69.32237703209333,7943282347.2428665,0.000279306388808354,5.052528674485443e-10,8.909229910287038
8.000000000000001e-07,7.559289759705511e-06,4.97800041594689e-06,399.45940194613246,69.1420686243674,6309573444.801973,0.00028408351258179794,2.970204581254265e-10,9.419084860459837
8.000000000000001e-07,4.952774344718153e-06,4.936094903645549e-06,372.97143492910897,69.07872997240614,7943282347.2428665,0.0002796438771741314,5.08406417268426e-10,8.80281058702925
8.000000000000001e-07,7.020339442976802e-06,6.867185367576753e-07,329.55937896371853,90.41077745098855,7943282347.2428665,0.0002792746740671622,6.23317446526866e-10,4.920878531930477
8.000000000000001e-07,2.0060206774704763e-06,3.614978749623101e-06,413.70048060272006,75.40920606506488,7943282347.2428665,0.00026586070964326736,2.495579014268238e-10,6.963900535719704
8.000000000000001e-07,4.498352281902603e-06,2.4234484419624855e-06,418.5996987162843,66.50725695093116,10000000000.000065,0.0002777201930924997,2.9724517269875996e-10,8.763117759600929
8.000000000000001e-07,3.550940136705204e-06,5.832467242759566e-06,354.5759011234933,76.09411235047878,6309573444.801973,0.0002756033331610194,5.558469322129631e-10,8.077680829784683
8.000000000000001e-07,4.0045306431380365e-06,5.95524736236003e-06,358.58139441529005,75.23093289721902,6309573444.801973,0.00027721093559954685,5.284783506118338e-10,8.309416289616985
8.000000000000001e-07,5.009994650743834e-06,7.62633469164922e-06,384.36719746179125,72.92299121887727,6309573444.801973,0.00028010555462491116,3.569562401063619e-10,8.564762754145542
8.000000000000001e-07,5.76572535914079e-07,4.586743481754646e-06,318.01616202995575,91.30599391421521,3162277660.168399,0.00022606620606939072,4.940405793198495e-10,3.745496613308907
8.000000000000001e-07,5.655256275868594e-06,5.551039214495659e-06,388.4546068683933,72.40988822129277,6309573444.801973,0.00028122471736046866,3.447922734106778e-10,8.959518800624718
8.000000000000001e-07,3.6047620290041945e-06,5.1664799700918815e-06,363.64142687287057,71.54126267861008,7943282347.2428665,0.000275703215733519,5.690898217945436e-10,8.178521978951206
8.000000000000001e-07,1.64403899069227e-06,2.5841834244550377e-06,389.36563189495735,71.54483906699951,10000000000.000065,0.00026122565623463995,4.161262597935963e-10,6.534317620707127
8.000000000000001e-07,2.4335175978537016e-07,2.9981161008948705e-06,324.33178011357535,91.85365176434159,2511886431.5095954,0.00017030510394224738,5.25224e-10,2.7238322840625764
8.000000000000001e-07,1.0932516471724824e-06,7.145438461134743e-06,327.67826557375224,85.10017465958862,3981071705.5349975,0.00025226627891547634,5.019658217182581e-10,4.99334875112391
8.000000000000001e-07,7.820212636041824e-06,5.475654642097751e-06,371.2012476005001,68.65942491341575,6309573444.801973,0.0002844767955103497,4.569964984255949e-10,9.41747055848748
8.000000000000001e-07,4.0680735023733356e-06,7.958236673454826e-07,402.83689171347794,77.14468726936032,10000000000.000065,0.00027366993922292923,3.0113469537686033e-10,6.34466210007025
8.000000000000001e-07,1.936685523851383e-06,5.45733068914806e-07,417.7894440913447,82.0603511616065,12589254117.941755,0.00025846330683624213,2.097099499942568e-10,3.8475304925651503
